AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name
801,,,,,-
802,,,,,-
803,,,,,-
804,,,,,-
805,,,,,-
806,,,,,-
807,,,,,-
808,,,,,-
809,,,,,-
810,,,,,-
811,,,,,-
812,92,401,1,2,NIHON-KOKI
813,,,,,-
814,,,,,-
815,105,415,1,2,NIHON-KOKI
816,,,,,-
817,,,,,-
818,,,,,-
819,,,,,-
820,,,,,-
821,,,,,-
822,,,,,-
823,,,,,-
824,,,,,-
825,,,,,-
826,,,,,-
827,,,,,-
828,,,,,-
829,,,,,-
830,,,,,-
831,96,406,1,2,NIHON-KOKI
832,,,,,-
833,,,,,-
834,,,,,-
835,,,,,-
836,,,,,-
837,,,,,-
838,,,,,-
839,,,,,-
840,,,,,-
841,,,,,-
842,,,,,-
843,,,,,-
844,,,,,-
845,,,,,-
846,,,,,-
847,,,,,-
848,,,,,-
849,,,,,-
850,,,,,-
851,108,418,1,2,MONTOKUTENNO-JITSUROKU
852,,,,,-
853,104,414,1,2,MONTOKUTENNO-JITSUROKU
854,,,,,-
855,,,,,-
856,,,,,-
857,,,,,-
858,,,,,-
859,,,,,-
860,,,,,-
861,,,,,-
862,,,,,-
863,,,,,-
864,100,409,1,2,NIPPON-SANDAI-JITSUROKU
865,,,,,-
866,106,416,1,2,NIPPON-SANDAI-JITSUROKU
867,,,,,-
868,,,,,-
869,95,405,5,2,KANKE-BUNSOU
870,,,,,-
871,,,,,-
872,,,,,-
873,,,,,-
874,,,,,-
875,,,,,-
876,,,,,-
877,,,,,-
878,,,,,-
879,,,,,-
880,,,,,-
881,,,,,-
882,,,,,-
883,,,,,-
884,,,,,-
885,,,,,-
886,,,,,-
887,,,,,-
888,,,,,-
889,104,414,5,2,NIPPON-SANDAI-JITSUROKU
890,,,,,-
891,109,419,5,4,NIHONKIRYAKU
892,108,417,5,3,FUSHIMIIN-GOKIROKKU
893,,,,,-
894,106,416,5,2,KANKE-BUNSOU
895,104,414,5,4,NIHONKIRYAKU
896,104,413,5,4,NIPPON-SANDAI-JITSUROKU
897,,,,,-
898,,,,,-
899,,,,,-
900,,,,,-
901,,,,,-
902,102,412,5,8,EST-from-WF(NIHONGI-RYAKU)
903,,,,,-
904,,,,,-
905,,,,,-
906,,,,,-
907,,,,,-
908,98,407,5,8,EST-from-WF(KIMITADA-SHU)
909,,,,,-
910,,,,,-
911,,,,,-
912,95,404,1,2,SHINGISHIKI
913,110,420,5,2,SHUI-WAKASHU
914,,,,,-
915,,,,,-
916,,,,,-
917,95,405,1,2,KINHISHO
918,,,,,-
919,,,,,-
920,,,,,-
921,,,,,-
922,,,,,-
923,104,414,5,4,ZOKU-KOKIN-WAKASHU
924,,,,,-
925,,,,,-
926,98,408,1,2,NIHONKIRYAKU
927,,,,,-
928,,,,,-
929,,,,,-
930,97,407,5,8,EST-from-WF(SHIRYO-SORAN)
931,,,,,-
932,,,,,-
933,106,416,5,8,EST-from-WF(SHIRYO-SORAN)
934,,,,,-
935,,,,,-
936,,,,,-
937,,,,,-
938,,,,,-
939,,,,,-
940,,,,,-
941,109,419,1,2,NIHONKIRYAKU
942,,,,,-
943,,,,,-
944,,,,,-
945,,,,,-
946,,,,,-
947,,,,,-
948,,,,,-
949,107,417,1,2,NIHONKIRYAKU
950,95,405,4,2,DAINIHON-SHIRYO
951,,,,,-
952,,,,,-
953,,,,,-
954,,,,,-
955,89,330,5,4,SHUISHO
956,,,,,-
957,112,422,1,2,NIHONKIRYAKU
958,109,419,1,2,NIHONKIRYAKU
959,97,407,3,2,KYUREKI
960,101,410,3,2,KYUREKI
961,87,328,1,2,NIHONKIRYAKU
962,,,,,-
963,94,404,1,2,NIHONKIRYAKU
964,,,,,-
965,104,414,1,2,NIHONKIRYAKU
966,98,408,1,2,NIHONKIRYAKU
967,103,413,1,2,NIHONKIRYAKU
968,,,,,-
969,98,408,5,4,NIHONKIRYAKU
